,name,num_games,wins,losses,draws,win_likelhood,balance,batch_balance
0,bb,100,17,76,7,0.205,200.0,920.0
1,random,100,9,86,5,0.11500000000000002,20.0,902.0
2,hi_lo,100,13,81,6,0.16,320.0,932.0
3,ko,100,13,82,5,0.15500000000000003,310.0,931.0
4,zen,100,5,92,3,0.06499999999999999,130.0,913.0
5,ten,100,13,83,4,0.14999999999999997,300.0,930.0
6,halves,100,6,89,5,0.08499999999999999,170.0,917.0
7,uston,100,21,76,3,0.22500000000000003,340.0,934.0
