,name,num_games,wins,losses,draws,win_likelhood,balance,batch_balance
0,bb,1000,661,281,58,0.6900000000000001,9100.0,1810.0
1,random,1000,469,377,154,0.5459999999999999,4725.0,1372.5
2,hi_lo,1000,582,346,72,0.618,6270.0,1527.0
3,ko,1000,574,332,94,0.621,6290.0,1529.0
4,zen,1000,579,340,81,0.6195,6285.0,1528.5
5,ten,1000,640,302,58,0.669,7580.0,1658.0
6,halves,1000,609,317,74,0.6459999999999999,6965.0,1596.5
7,uston,1000,428,421,151,0.5035000000000001,3475.0,1247.5
