,name,num_games,wins,losses,draws,win_likelhood,balance,batch_balance
0,bb,1000,583,285,132,0.6489999999999998,7185.0,1618.5
1,random,1000,471,365,164,0.5529999999999999,4730.0,1373.0
2,hi_lo,1000,596,328,76,0.6339999999999999,6660.0,1566.0
3,ko,1000,590,334,76,0.628,6510.0,1551.0
4,zen,1000,592,332,76,0.63,6530.0,1553.0
5,ten,1000,546,351,103,0.5974999999999999,5680.0,1468.0
6,halves,1000,578,349,73,0.6145,6180.0,1518.0
7,uston,1000,420,384,196,0.518,4140.0,1314.0
