,name,num_games,wins,losses,draws,win_likelhood,balance,batch_balance
0,bb,1000,504,368,128,0.568,5040.0,1404.0
1,random,1000,445,430,125,0.5075,3575.0,1257.5
2,hi_lo,1000,532,399,69,0.5665,4990.0,1399.0
3,ko,1000,486,422,92,0.532,4070.0,1307.0
4,zen,1000,517,422,61,0.5474999999999999,4595.0,1359.5
5,ten,1000,512,400,88,0.556,4680.0,1368.0
6,halves,1000,518,403,79,0.5574999999999999,4740.0,1374.0
7,uston,1000,417,449,134,0.484,3140.0,1214.0
