,name,num_games,wins,losses,draws,win_likelhood,balance,batch_balance
0,bb,100,20,74,6,0.23000000000000004,310.0,931.0
1,random,100,15,81,4,0.16999999999999998,90.0,909.0
2,hi_lo,100,14,81,5,0.16499999999999998,330.0,933.0
3,ko,100,15,76,9,0.195,390.0,939.0
4,zen,100,15,79,6,0.18,360.0,936.0
5,ten,100,12,83,5,0.145,290.0,929.0
6,halves,100,13,79,8,0.17,340.0,934.0
7,uston,100,14,83,3,0.15499999999999997,170.0,917.0
