,name,num_games,wins,losses,draws,win_likelhood,balance,batch_balance
0,bb,1000,591,295,114,0.648,7035.0,1603.5
1,random,1000,476,353,171,0.5615,5455.0,1445.5
2,hi_lo,1000,582,342,76,0.62,6310.0,1531.0
3,ko,1000,595,334,71,0.6304999999999998,6585.0,1558.5
4,zen,1000,574,351,75,0.6114999999999999,6105.0,1510.5
5,ten,1000,565,364,71,0.6005,5835.0,1483.5
6,halves,1000,591,337,72,0.627,6495.0,1549.5
7,uston,1000,395,383,222,0.506,3695.0,1269.5
